ticket,symbol,profit,signal_conf,target_win,is_buy,hold_min,sl_distance,tp_distance,rr_ratio,dollar_risk,m1_scalp,m1_range_aligned,m1_has_pullback,h4_aligned,conqueror_bull,conqueror_bear,conqueror_bonus,channel_breakout,channel_bonus,ema50_bonus,model_m1_scalp,model_silver_ar,model_turtle_soup,model_fx_london,model_slingshot,model_ict,eu_london_breakout,eu_ny_reversion,eu_tight_range,eu_z_score,eu_asian_range_pips,kz_Asian,kz_London,kz_London_NY,kz_London_PM,kz_NY_Open,kz_NY_PM2,kz_Other,asset_Commodity,asset_Forex,asset_Index,regime_HIGH,regime_NORMAL,regime_UNKNOWN,hour_sin,hour_cos,dow_sin,dow_cos
8580518496,GBPJPY,27.51,0.99,1,1,77.81666666666666,0.12000000000000455,0.2230000000000132,1.858333333333373,93.60000000000355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,True,False,False,True,False,0.49999999999999994,-0.8660254037844387,-0.587785252292473,-0.8090169943749475
8581445659,AUDUSD,-46.97,0.756,0,1,12.95,0.0006099999999999994,0.0025600000000000067,4.196721311475425,46.969999999999956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,True,False,False,True,False,0.8660254037844386,0.5000000000000001,-0.9510565162951536,0.30901699437494723
8581612721,US Tech 100,-10.43,0.71,0,0,4.866666666666666,44.14999999999782,57.70000000000073,1.3069082672707493,309.0499999999847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,True,True,False,False,0.8660254037844387,-0.4999999999999998,-0.9510565162951536,0.30901699437494723
8581596008,US SP 500,-6.38,0.75,0,0,13.433333333333334,8.930000000000291,22.36999999999989,2.5050391937289094,62.51000000000203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,True,False,True,False,0.8660254037844387,-0.4999999999999998,-0.9510565162951536,0.30901699437494723
8584090404,XAUUSD,-86.52,0.655,0,0,13.016666666666667,4.0700000000006185,51.1299999999992,12.562653562651457,85.47000000001299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,False,True,False,0.9659258262890683,0.25881904510252074,0.0,1.0
8584223476,USDJPY,22.66,0.795,1,1,49.233333333333334,0.11899999999999977,0.44599999999999795,3.7478991596638553,90.43999999999983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,True,False,False,True,False,0.8660254037844387,-0.4999999999999998,0.0,1.0
8584225240,USDJPY,-57.32,0.99,0,1,80.25,0.12000000000000455,0.4449999999999932,3.708333333333136,91.20000000000346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,True,False,False,True,False,0.49999999999999994,-0.8660254037844387,0.0,1.0
8584564388,EURUSD,-15.2,0.803,0,0,3.3333333333333335,0.000600000000000156,0.0018400000000000638,3.066666666665976,45.60000000001185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,True,False,False,True,False,-0.7071067811865471,-0.7071067811865479,0.0,1.0
8584625885,XAGUSD,68.96,0.99,1,0,344.7,0.5570000000000022,3.9239999999999924,7.0448833034110905,278.5000000000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,True,False,False,-1.0,-1.8369701987210297e-16,0.0,1.0
8585028044,XAUUSD,-63.22,0.99,0,0,3.2666666666666666,1.7999999999992724,30.94000000000051,17.18888888889612,104.39999999995779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,True,False,False,False,True,False,0.7071067811865476,0.7071067811865476,0.9510565162951535,0.30901699437494745
