ticket,symbol,volume,profit,target_win,is_buy,sl_distance,asset_Commodity,asset_Crypto,asset_Forex,regime_UNKNOWN,hour_sin,hour_cos
8574168456,EURUSD,0.62,-44.64,0,0,0.0007199999999998319,False,False,True,True,0.7071067811865476,0.7071067811865476
8574168473,EURJPY,0.4,-28.69,0,0,0.11199999999999477,False,False,True,True,0.7071067811865476,0.7071067811865476
8574199765,BTCUSD,0.3,6.15,1,1,880.0330000000104,False,True,False,True,0.8660254037844386,0.5000000000000001
8574200440,BTCUSD,0.3,13.28,1,1,793.5470000000059,False,True,False,True,0.8660254037844386,0.5000000000000001
8574620767,XAUUSD,0.2,10.5,1,1,29.950000000000728,True,False,False,True,-0.7071067811865471,-0.7071067811865479
8574634230,USDJPY,0.74,100.91,1,0,0.24199999999999022,False,False,True,True,-0.7071067811865471,-0.7071067811865479
8574684752,XAGUSD,0.72,702.0,1,1,1.2590000000000003,True,False,False,True,-0.8660254037844385,-0.5000000000000004
