ticket,symbol,type,volume,open_price,close_price,profit,open_time,close_time,account_id,model_type,regime
8574168473,EURJPY,SELL,0.4,182.838,182.951,-28.69,2026-03-06 03:45:08.056005,2026-03-06 04:05:21,,,
8574168456,EURUSD,SELL,0.62,1.16104,1.16176,-44.64,2026-03-06 03:45:05.480515,2026-03-06 04:35:10,,,
8574199765,BTCUSD,BUY,0.3,71118.854,71157.202,6.15,2026-03-06 04:45:04.715013,2026-03-06 04:48:11,,,
8574200440,BTCUSD,BUY,0.3,71032.368,71106.772,13.28,2026-03-06 04:47:04.749322,2026-03-06 05:23:24,,,
8574620767,XAUUSD,BUY,0.2,5087.77,5088.65,10.5,2026-03-06 15:27:32.929218,2026-03-06 15:36:36,,,
8574634230,USDJPY,SELL,0.74,157.876,157.663,100.91,2026-03-06 15:45:24.163368,2026-03-06 16:30:01,,,
8574684752,XAGUSD,BUY,0.72,82.68,82.865,702.0,2026-03-06 16:30:31.197826,2026-03-06 17:01:33,,,
