ticket,symbol,type,volume,open_price,close_price,profit,open_time,close_time,account_id,model_type,regime
8574168473,EURJPY,SELL,0.4,182.838,182.951,-28.69,2026-03-06 03:45:08.056005,2026-03-06 04:05:21,,,
8574168456,EURUSD,SELL,0.62,1.16104,1.16176,-44.64,2026-03-06 03:45:05.480515,2026-03-06 04:35:10,,,
8574199765,BTCUSD,BUY,0.3,71118.854,71157.202,6.15,2026-03-06 04:45:04.715013,2026-03-06 04:48:11,,,
8574200440,BTCUSD,BUY,0.3,71032.368,71106.772,13.28,2026-03-06 04:47:04.749322,2026-03-06 05:23:24,,,
8574620767,XAUUSD,BUY,0.2,5087.77,5088.65,10.5,2026-03-06 15:27:32.929218,2026-03-06 15:36:36,,,
8574634230,USDJPY,SELL,0.74,157.876,157.663,100.91,2026-03-06 15:45:24.163368,2026-03-06 16:30:01,,,
8574684752,XAGUSD,BUY,0.72,82.68,82.865,702.0,2026-03-06 16:30:31.197826,2026-03-06 17:01:33,,,
8578679486,USDCHF,BUY,0.5,0.77556,0.77797,77.45,2026-03-11 19:53:08,2026-03-10 18:16:30,32128474,ICT_STANDARD,NORMAL (TRENDING)
8579191912,USDJPY,SELL,0.5,157.99,158.188,-62.58,2026-03-11 00:21:39,2026-03-11 00:54:24,32128474,ICT_STANDARD,NORMAL (TRENDING)
8579191917,NZDUSD,BUY,0.5,0.59321,0.59373,26.0,2026-03-11 00:21:44,2026-03-11 02:47:08,32128474,ICT_STANDARD,NORMAL (TRENDING)
8579632491,USDCAD,SELL,0.5,1.35705,1.3576,-20.26,2026-03-11 12:01:51,2026-03-11 12:15:37,32128474,ICT_STANDARD,NORMAL (TRENDING)
8579818971,XAUUSD,BUY,0.14,5175.1,5181.7,46.2,2026-03-11 14:42:49,2026-03-11 14:45:04,32128474,ICT_STANDARD,NORMAL (TRENDING)
8580222335,XAUUSD,BUY,0.62,5139.09,5144.71,174.22,2026-03-11 23:47:21,2026-03-11 23:49:22,32128474,ICT_STANDARD,HIGH VOLATILITY (GARCH)
8580285447,GBPUSD,BUY,0.78,1.33837,1.33777,-46.8,2026-03-12 02:21:23,2026-03-12 02:30:00,32128474,ICT_STANDARD,NORMAL (TRENDING)
8580259030,AUDJPY,BUY,0.78,113.414,113.29,-60.83,2026-03-12 03:10:13,2026-03-12 05:13:22,32128474,ICT_STANDARD,NORMAL (TRENDING)
8580369549,NZDUSD,SELL,0.78,0.59033,0.59001,12.48,2026-03-12 05:03:25,2026-03-12 06:01:02,32128474,ICT_STANDARD,NORMAL (TRENDING)
8580420566,NZDUSD,SELL,0.78,0.59016,0.59077,-47.58,2026-03-12 06:26:20,2026-03-12 06:33:02,32128474,ICT_STANDARD,NORMAL (TRENDING)
8580402028,GBPUSD,BUY,0.3,1.3367200000000001,1.33806,20.1,2026-03-12 05:49:45,2026-03-12 07:32:17,32128474,ICT_STANDARD,NORMAL (TRENDING)
8580616494,Germany 40,SELL,1.4,23610.1,23673.3,-102.24,2026-03-12 10:41:16,2026-03-12 10:48:49,32128474,ICT_STANDARD,HIGH VOLATILITY (GARCH)
8580340453,NGAS,SELL,0.1,3.344,3.262,82.0,2026-03-12 04:40:30,2026-03-12 10:58:37,32128474,ICT_STANDARD,NORMAL (TRENDING)
8580519358,GBPUSD,SELL,0.78,1.33918,1.34012,-73.32,2026-03-12 09:41:30,2026-03-12 11:30:20,32128474,ICT_STANDARD,NORMAL (TRENDING)
8580518496,GBPJPY,BUY,0.78,212.488,212.6,27.51,2026-03-12 10:48:30,2026-03-12 12:06:19,32128474,ICT_STANDARD,NORMAL (TRENDING)
8580454025,EURGBP,SELL,0.1,0.8629,0.86204,5.8100000000000005,2026-03-12 07:03:41,2026-03-12 13:22:03,32128474,ICT_STANDARD,NORMAL (TRENDING)
8581330590,BTCUSD,SELL,0.5,70629.385,70745.992,-58.3,2026-03-13 00:10:33,2026-03-13 00:11:42,32128474,ICT_STANDARD,NORMAL (TRENDING)
8581445659,AUDUSD,BUY,0.77,0.70667,0.70606,-46.97,2026-03-13 04:21:25,2026-03-13 04:34:22,32128474,ICT_STANDARD,NORMAL (TRENDING)
8581612721,US Tech 100,SELL,0.7,24435.2,24450.1,-10.43,2026-03-13 08:31:35,2026-03-13 08:36:27,32128474,ICT_STANDARD,HIGH VOLATILITY (GARCH)
8581596008,US SP 500,SELL,0.7,6658.99,6668.1,-6.38,2026-03-13 08:39:12,2026-03-13 08:52:38,32128474,ICT_STANDARD,NORMAL (TRENDING)
8584001459,BTCUSD,BUY,0.38,72347.034,72505.179,30.05,2026-03-16 02:32:58,2026-03-16 02:58:36,32128474,ICT_STANDARD,NORMAL (TRENDING)
8584090404,XAUUSD,SELL,0.21,5015.98,5020.1,-86.52,2026-03-16 05:41:05,2026-03-16 05:54:06,32128474,ICT_STANDARD,NORMAL (TRENDING)
8584223476,USDJPY,BUY,0.76,159.238,159.333,22.66,2026-03-16 08:24:38,2026-03-16 09:13:52,32128474,ICT_STANDARD,NORMAL (TRENDING)
8584225240,USDJPY,BUY,0.76,159.239,159.119,-57.32,2026-03-16 10:21:56,2026-03-16 11:42:11,32128474,ICT_STANDARD,NORMAL (TRENDING)
